person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24.0,65000,RENT,1.0,MEDICAL,4000,5.42,0,0.06,N,2
23.0,65000,RENT,1.0,PERSONAL,4000,7.49,0,0.06,N,4
25.0,65499,RENT,9.0,VENTURE,4000,12.23,0,0.06,N,4
23.0,40000,MORTGAGE,5.0,EDUCATION,18000,9.91,0,0.45,N,2
23.0,61000,RENT,2.0,DEBTCONSOLIDATION,4000,16.0,1,0.07,Y,4
23.0,67450,RENT,8.0,EDUCATION,4000,6.76,0,0.06,N,3
22.0,40000,MORTGAGE,5.0,DEBTCONSOLIDATION,12000,13.49,0,0.3,N,2
25.0,68000,RENT,0.0,VENTURE,4000,6.76,0,0.06,N,2
22.0,63000,RENT,6.0,HOMEIMPROVEMENT,4000,11.12,1,0.06,N,2
23.0,69360,RENT,5.0,DEBTCONSOLIDATION,4000,7.74,0,0.06,N,3
21.0,70000,RENT,5.0,EDUCATION,4000,7.9,0,0.06,N,2
26.0,70000,RENT,4.0,DEBTCONSOLIDATION,4000,5.99,0,0.06,N,4
24.0,70000,RENT,8.0,VENTURE,4000,13.49,0,0.06,Y,4
23.0,40000,MORTGAGE,0.0,DEBTCONSOLIDATION,6000,10.65,0,0.15,N,4
26.0,70000,RENT,4.0,VENTURE,4000,13.06,0,0.06,Y,4
26.0,70000,RENT,5.0,PERSONAL,4000,13.85,0,0.06,N,4
23.0,34000,MORTGAGE,3.0,VENTURE,12000,14.27,1,0.35,N,4
24.0,72000,RENT,4.0,DEBTCONSOLIDATION,4000,7.88,0,0.06,N,3
25.0,75000,RENT,4.0,PERSONAL,4000,11.49,0,0.05,N,2
22.0,40000,MORTGAGE,6.0,MEDICAL,5000,6.03,0,0.13,N,2
22.0,34000,MORTGAGE,6.0,MEDICAL,4500,11.71,1,0.13,N,2
25.0,40000,MORTGAGE,7.0,EDUCATION,2100,6.03,0,0.05,N,2
23.0,40000,MORTGAGE,7.0,VENTURE,5000,6.62,0,0.13,N,4
24.0,40000,MORTGAGE,1.0,MEDICAL,7500,12.42,0,0.19,N,4
22.0,77250,RENT,3.0,PERSONAL,4000,11.71,0,0.05,N,3
24.0,40000,MORTGAGE,6.0,EDUCATION,5400,12.42,0,0.14,N,3
25.0,80000,RENT,2.0,DEBTCONSOLIDATION,4000,10.59,0,0.05,N,3
22.0,40000,MORTGAGE,2.0,EDUCATION,10000,6.03,0,0.25,N,3
23.0,80000,RENT,3.0,EDUCATION,4000,14.46,0,0.05,Y,4
22.0,80000,RENT,6.0,EDUCATION,4000,11.12,0,0.05,N,4
22.0,40000,MORTGAGE,3.0,MEDICAL,6700,10.65,0,0.17,N,4
24.0,81996,RENT,1.0,DEBTCONSOLIDATION,4000,12.53,0,0.05,N,4
26.0,82000,RENT,2.0,EDUCATION,4000,13.48,0,0.05,N,2
26.0,34000,MORTGAGE,5.0,EDUCATION,5500,10.65,1,0.16,N,3
23.0,92000,RENT,2.0,EDUCATION,4000,5.42,0,0.04,N,2
24.0,93000,RENT,8.0,MEDICAL,4000,5.42,0,0.04,N,2
24.0,95000,RENT,0.0,EDUCATION,4000,7.9,0,0.04,N,4
23.0,95000,RENT,7.0,EDUCATION,4000,11.49,0,0.04,N,3
23.0,40000,OWN,1.0,VENTURE,15000,12.42,0,0.38,N,4
24.0,40000,MORTGAGE,3.0,EDUCATION,6400,9.91,0,0.16,N,4
26.0,98000,RENT,3.0,VENTURE,4000,9.32,0,0.04,N,2
22.0,40000,MORTGAGE,6.0,MEDICAL,7500,7.51,0,0.19,N,3
23.0,88000,RENT,4.0,HOMEIMPROVEMENT,4000,7.14,1,0.05,N,4
24.0,40000,MORTGAGE,8.0,DEBTCONSOLIDATION,4500,6.62,0,0.11,N,3
22.0,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,2000,7.9,0,0.05,N,2
21.0,40000,OWN,0.0,EDUCATION,2500,14.27,0,0.06,N,2
26.0,34000,MORTGAGE,3.0,MEDICAL,4000,17.58,1,0.12,N,3
26.0,130000,RENT,0.0,EDUCATION,4000,10.99,0,0.03,N,3
24.0,118068,RENT,0.0,DEBTCONSOLIDATION,4000,10.51,1,0.03,N,3
26.0,131000,RENT,10.0,HOMEIMPROVEMENT,4000,12.84,0,0.03,Y,3
21.0,40000,MORTGAGE,5.0,PERSONAL,5000,6.62,0,0.13,N,2
26.0,158000,RENT,0.0,HOMEIMPROVEMENT,4000,14.84,1,0.03,N,3
24.0,15000,RENT,8.0,DEBTCONSOLIDATION,4200,13.11,1,0.28,Y,2
24.0,40000,MORTGAGE,6.0,VENTURE,10000,9.91,0,0.25,N,3
23.0,21600,RENT,0.0,PERSONAL,4200,15.23,0,0.19,N,4
22.0,22560,RENT,3.0,PERSONAL,4200,15.2,1,0.19,Y,4
23.0,40000,MORTGAGE,7.0,MEDICAL,4000,7.51,0,0.1,N,2
25.0,24996,RENT,1.0,PERSONAL,4200,14.26,0,0.17,Y,2
24.0,26000,RENT,0.0,PERSONAL,4200,16.0,1,0.16,N,2
26.0,30000,RENT,3.0,PERSONAL,4200,9.91,0,0.14,N,4
26.0,30000,RENT,1.0,EDUCATION,4200,16.49,1,0.14,N,3
25.0,30000,RENT,3.0,MEDICAL,4200,15.99,0,0.14,N,3
25.0,12000,RENT,3.0,DEBTCONSOLIDATION,4350,12.98,1,0.36,Y,4
22.0,22000,RENT,6.0,MEDICAL,4350,11.54,0,0.2,N,3
23.0,40000,OWN,7.0,MEDICAL,5000,8.49,0,0.13,N,4
23.0,40000,MORTGAGE,3.0,VENTURE,4000,9.99,0,0.1,N,4
26.0,40000,MORTGAGE,3.0,MEDICAL,2200,8.49,0,0.06,N,3
25.0,40000,MORTGAGE,0.0,MEDICAL,3600,7.49,0,0.09,N,3
23.0,40000,MORTGAGE,7.0,PERSONAL,4000,10.99,0,0.1,N,4
26.0,40000,MORTGAGE,6.0,HOMEIMPROVEMENT,6000,11.99,0,0.15,N,2
26.0,15000,RENT,0.0,DEBTCONSOLIDATION,4375,12.69,1,0.29,N,4
24.0,22044,RENT,3.0,HOMEIMPROVEMENT,4375,16.4,1,0.2,Y,3
26.0,24480,RENT,0.0,MEDICAL,4375,5.79,0,0.18,N,4
23.0,50000,RENT,5.0,DEBTCONSOLIDATION,4375,8.49,0,0.09,N,2
22.0,14400,RENT,0.0,HOMEIMPROVEMENT,4400,19.91,1,0.31,N,4
22.0,19200,RENT,6.0,PERSONAL,4400,11.49,1,0.23,N,2
21.0,20000,RENT,3.0,PERSONAL,4400,6.91,0,0.22,N,4
24.0,25000,RENT,0.0,DEBTCONSOLIDATION,4400,6.76,0,0.18,N,3
21.0,40000,MORTGAGE,5.0,EDUCATION,2000,12.99,0,0.05,Y,4
22.0,32496,RENT,5.0,PERSONAL,4400,8.49,0,0.14,N,4
23.0,40000,MORTGAGE,3.0,MEDICAL,5000,5.42,0,0.13,N,3
23.0,40000,MORTGAGE,7.0,EDUCATION,6000,14.79,0,0.15,N,2
26.0,40000,MORTGAGE,5.0,EDUCATION,7200,7.49,0,0.18,N,2
22.0,34000,MORTGAGE,6.0,VENTURE,15000,15.99,1,0.44,Y,2
23.0,38000,RENT,5.0,VENTURE,4400,11.71,0,0.12,N,2
23.0,43000,RENT,7.0,MEDICAL,4400,11.99,1,0.1,N,4
22.0,40000,MORTGAGE,6.0,DEBTCONSOLIDATION,5000,12.99,0,0.13,Y,2
24.0,49000,RENT,8.0,DEBTCONSOLIDATION,4400,16.77,1,0.09,Y,3
22.0,60000,RENT,0.0,EDUCATION,4400,15.23,0,0.07,Y,3
24.0,80000,RENT,7.0,EDUCATION,4400,19.03,0,0.06,Y,2
23.0,40000,MORTGAGE,7.0,VENTURE,13000,9.99,0,0.33,N,3
26.0,95459,RENT,10.0,DEBTCONSOLIDATION,4400,13.8,0,0.05,N,4
24.0,33600,RENT,5.0,PERSONAL,4450,11.49,0,0.13,N,4
24.0,42200,RENT,5.0,DEBTCONSOLIDATION,4450,9.32,0,0.11,N,4
22.0,40000,MORTGAGE,5.0,PERSONAL,5400,7.42,0,0.14,N,2
22.0,40000,MORTGAGE,7.0,EDUCATION,14000,7.49,0,0.35,N,3
22.0,14400,RENT,0.0,EDUCATION,4500,7.88,1,0.31,N,4
25.0,40000,MORTGAGE,2.0,PERSONAL,4500,10.99,0,0.11,N,3
25.0,40000,MORTGAGE,9.0,DEBTCONSOLIDATION,3500,13.49,0,0.09,N,3
24.0,40000,MORTGAGE,3.0,VENTURE,3200,10.99,0,0.08,N,2
23.0,15600,RENT,1.0,VENTURE,4500,5.99,1,0.29,N,4
25.0,15600,RENT,3.0,PERSONAL,4500,7.51,1,0.29,N,3
22.0,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,7500,11.49,0,0.19,N,3
24.0,40000,OWN,6.0,EDUCATION,2800,8.49,0,0.07,N,4
25.0,40000,OWN,0.0,MEDICAL,11000,8.49,0,0.28,N,2
24.0,40000,MORTGAGE,5.0,HOMEIMPROVEMENT,15000,7.49,0,0.38,N,2
24.0,40000,MORTGAGE,5.0,DEBTCONSOLIDATION,3000,11.99,0,0.07,N,4
23.0,40000,MORTGAGE,2.0,MEDICAL,2000,10.99,0,0.05,N,4
21.0,18000,RENT,2.0,PERSONAL,4500,10.38,1,0.25,N,2
24.0,40000,MORTGAGE,2.0,HOMEIMPROVEMENT,2500,9.99,0,0.06,N,2
23.0,18000,RENT,0.0,DEBTCONSOLIDATION,4500,12.21,1,0.25,N,3
24.0,18200,RENT,8.0,EDUCATION,4500,8.94,1,0.25,N,2
24.0,40000,MORTGAGE,6.0,DEBTCONSOLIDATION,10000,5.79,0,0.25,N,4
25.0,18204,RENT,0.0,EDUCATION,4500,13.61,1,0.25,N,2
26.0,40000,OWN,0.0,MEDICAL,4300,10.74,0,0.11,N,2
21.0,20000,RENT,5.0,PERSONAL,4500,13.49,0,0.23,N,2
24.0,40000,MORTGAGE,9.0,MEDICAL,2125,11.11,0,0.05,N,4
21.0,20004,RENT,4.0,MEDICAL,4500,8.0,0,0.22,N,2
21.0,20400,RENT,2.0,PERSONAL,4500,10.99,0,0.22,N,2
25.0,21000,RENT,0.0,DEBTCONSOLIDATION,4500,9.62,0,0.21,N,4
25.0,21000,RENT,2.0,EDUCATION,4500,16.45,1,0.21,Y,4
22.0,40000,MORTGAGE,7.0,PERSONAL,10850,7.66,0,0.27,N,4
23.0,21600,RENT,1.0,EDUCATION,4500,15.65,1,0.21,N,2
23.0,23421,RENT,3.0,MEDICAL,4500,17.99,1,0.19,Y,3
23.0,34000,MORTGAGE,0.0,EDUCATION,4000,14.17,1,0.12,N,2
23.0,40000,MORTGAGE,6.0,PERSONAL,7200,11.11,0,0.18,N,2
21.0,23916,RENT,2.0,EDUCATION,4500,9.62,0,0.19,N,4
26.0,24000,RENT,10.0,MEDICAL,4500,12.42,0,0.19,N,4
24.0,40000,MORTGAGE,6.0,DEBTCONSOLIDATION,5000,11.11,0,0.13,N,2
26.0,24000,RENT,5.0,VENTURE,4500,5.79,0,0.19,N,3
22.0,24000,RENT,0.0,EDUCATION,4500,11.49,0,0.19,N,2
25.0,40000,MORTGAGE,1.0,HOMEIMPROVEMENT,4000,7.29,0,0.1,N,2
22.0,24500,RENT,3.0,DEBTCONSOLIDATION,4500,8.94,0,0.18,N,2
23.0,25596,RENT,2.0,MEDICAL,4500,9.99,0,0.18,N,4
23.0,26000,RENT,3.0,MEDICAL,4500,8.49,1,0.17,N,2
25.0,30996,RENT,9.0,VENTURE,4500,6.92,0,0.15,N,3
23.0,32400,RENT,4.0,EDUCATION,4500,7.49,0,0.14,N,4
22.0,40000,MORTGAGE,1.0,EDUCATION,4800,5.42,0,0.12,N,2
22.0,33000,RENT,2.0,PERSONAL,4500,7.88,0,0.14,N,3
23.0,33000,RENT,1.0,DEBTCONSOLIDATION,4500,15.05,1,0.14,N,4
21.0,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,8000,6.92,0,0.2,N,4
22.0,35000,RENT,2.0,VENTURE,4500,14.27,0,0.13,Y,2
23.0,35000,RENT,5.0,PERSONAL,4500,10.59,0,0.13,N,2
24.0,35000,RENT,1.0,MEDICAL,4500,12.87,0,0.13,Y,3
22.0,40000,MORTGAGE,5.0,MEDICAL,8000,10.74,0,0.2,N,3
21.0,36000,RENT,0.0,EDUCATION,4500,6.62,0,0.13,N,2
26.0,34000,MORTGAGE,4.0,PERSONAL,12250,6.91,1,0.36,N,4
22.0,36000,RENT,5.0,EDUCATION,4500,6.17,0,0.13,N,3
24.0,36000,RENT,5.0,VENTURE,4500,7.14,0,0.13,N,4
22.0,40000,OWN,5.0,MEDICAL,6000,9.25,0,0.15,N,3
22.0,37342,RENT,3.0,VENTURE,4500,11.03,0,0.12,Y,2
23.0,40000,MORTGAGE,2.0,MEDICAL,7000,8.88,0,0.17,N,3
24.0,37500,RENT,0.0,PERSONAL,4500,5.42,0,0.12,N,4
24.0,40000,OWN,0.0,PERSONAL,6900,6.91,0,0.17,N,3
22.0,32000,RENT,5.0,MEDICAL,4500,9.63,1,0.14,N,2
24.0,38000,RENT,8.0,MEDICAL,4500,10.83,0,0.12,N,2
23.0,38004,RENT,2.0,EDUCATION,4500,7.88,0,0.12,N,2
24.0,34000,MORTGAGE,1.0,DEBTCONSOLIDATION,7000,14.09,1,0.21,N,2
24.0,39000,RENT,2.0,VENTURE,4500,10.99,0,0.12,N,4
22.0,39996,RENT,2.0,EDUCATION,4500,13.43,0,0.11,N,4
22.0,40000,RENT,6.0,EDUCATION,4500,7.66,0,0.11,N,3
26.0,40000,RENT,0.0,MEDICAL,4500,7.74,0,0.11,N,2
25.0,40000,OWN,3.0,EDUCATION,12000,14.83,0,0.3,N,4
24.0,40000,RENT,8.0,MEDICAL,4500,12.84,0,0.11,N,3
22.0,40000,MORTGAGE,6.0,VENTURE,4000,10.36,0,0.1,N,4
24.0,34068,RENT,2.0,EDUCATION,4500,14.84,1,0.13,N,3
23.0,41000,RENT,6.0,PERSONAL,4500,12.99,0,0.11,N,4
25.0,40000,MORTGAGE,6.0,MEDICAL,5000,12.61,0,0.13,Y,4
21.0,36000,RENT,1.0,VENTURE,4500,17.27,1,0.13,N,2
24.0,40000,MORTGAGE,4.0,MEDICAL,3500,8.88,0,0.09,N,2
26.0,40000,MORTGAGE,10.0,HOMEIMPROVEMENT,5300,5.42,0,0.13,N,2
21.0,42000,RENT,4.0,DEBTCONSOLIDATION,4500,6.03,0,0.11,N,4
22.0,42000,RENT,2.0,DEBTCONSOLIDATION,4500,11.49,0,0.11,N,4
21.0,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,6000,5.79,0,0.15,N,3
26.0,42000,RENT,3.0,PERSONAL,4500,7.66,0,0.11,N,2
25.0,43500,RENT,0.0,MEDICAL,4500,6.76,0,0.1,N,2
25.0,43738,RENT,0.0,DEBTCONSOLIDATION,4500,5.99,0,0.1,N,3
26.0,44004,RENT,2.0,MEDICAL,4500,7.74,0,0.1,N,3
23.0,45000,RENT,0.0,VENTURE,4500,9.25,0,0.1,N,4
21.0,41000,RENT,2.0,DEBTCONSOLIDATION,4500,13.49,1,0.11,N,3
26.0,48000,RENT,10.0,DEBTCONSOLIDATION,4500,11.11,0,0.09,N,4
23.0,48500,RENT,0.0,DEBTCONSOLIDATION,4500,12.21,0,0.09,N,4
22.0,44000,RENT,3.0,PERSONAL,4500,5.79,1,0.1,N,3
21.0,40000,MORTGAGE,3.0,MEDICAL,2500,6.76,0,0.06,N,4
24.0,40000,OWN,6.0,VENTURE,1000,6.76,0,0.03,N,3
23.0,52800,RENT,3.0,EDUCATION,4500,6.76,0,0.09,N,4
24.0,54100,RENT,5.0,PERSONAL,4500,7.14,0,0.08,N,4
26.0,40000,OWN,0.0,HOMEIMPROVEMENT,10000,11.86,0,0.25,N,4
22.0,48300,RENT,0.0,HOMEIMPROVEMENT,4500,9.76,1,0.09,N,2
22.0,34000,MORTGAGE,4.0,PERSONAL,7750,15.21,1,0.23,N,2
23.0,40000,MORTGAGE,1.0,PERSONAL,4000,7.14,0,0.1,N,3
24.0,40000,OWN,4.0,PERSONAL,2000,14.35,0,0.05,N,2
24.0,55000,RENT,2.0,DEBTCONSOLIDATION,4500,7.9,0,0.08,N,2
23.0,55000,RENT,4.0,VENTURE,4500,8.49,0,0.08,N,3
22.0,55000,RENT,4.0,DEBTCONSOLIDATION,4500,6.76,0,0.08,N,4
24.0,40000,MORTGAGE,2.0,VENTURE,15250,13.98,0,0.38,Y,2
26.0,58947,RENT,10.0,MEDICAL,4500,6.03,0,0.08,N,2
23.0,59000,RENT,3.0,MEDICAL,4500,12.68,0,0.08,Y,3
25.0,40000,OWN,0.0,EDUCATION,8000,10.38,0,0.2,N,4
23.0,54000,RENT,5.0,HOMEIMPROVEMENT,4500,8.49,1,0.08,N,2
23.0,62000,RENT,7.0,VENTURE,4500,12.42,0,0.07,N,2
22.0,40000,MORTGAGE,2.0,PERSONAL,8100,7.14,0,0.2,N,3
25.0,60000,RENT,9.0,HOMEIMPROVEMENT,4500,10.99,1,0.07,N,2
24.0,74000,RENT,0.0,PERSONAL,4500,12.18,0,0.06,N,4
25.0,78996,RENT,9.0,EDUCATION,4500,8.63,0,0.06,N,2
25.0,80000,RENT,8.0,VENTURE,4500,13.06,0,0.06,N,2
25.0,82560,RENT,6.0,DEBTCONSOLIDATION,4500,7.42,0,0.05,N,3
25.0,84000,RENT,0.0,HOMEIMPROVEMENT,4500,12.18,0,0.05,N,2
24.0,40000,MORTGAGE,3.0,VENTURE,10500,11.36,0,0.26,N,4
24.0,40000,MORTGAGE,8.0,PERSONAL,10000,9.88,0,0.25,N,2
21.0,40000,OWN,6.0,VENTURE,5600,10.25,0,0.14,N,3
25.0,138000,RENT,1.0,EDUCATION,4500,13.43,0,0.03,N,3
23.0,20664,RENT,4.0,EDUCATION,4550,13.72,0,0.22,Y,3
21.0,34000,MORTGAGE,5.0,EDUCATION,10000,10.62,1,0.29,N,2
22.0,29976,RENT,6.0,DEBTCONSOLIDATION,4550,12.84,0,0.15,N,3
23.0,42000,RENT,2.0,EDUCATION,4550,15.23,0,0.11,N,4
26.0,130000,RENT,0.0,HOMEIMPROVEMENT,4550,13.57,0,0.04,Y,2
21.0,24000,RENT,0.0,EDUCATION,4600,13.99,0,0.19,Y,2
23.0,27864,RENT,0.0,MEDICAL,4600,6.03,0,0.17,N,3
26.0,40000,MORTGAGE,5.0,MEDICAL,6000,10.62,0,0.15,N,4
23.0,33000,RENT,0.0,EDUCATION,4600,11.71,0,0.14,N,3
23.0,40000,RENT,1.0,VENTURE,4600,10.59,0,0.12,N,3
25.0,40000,MORTGAGE,8.0,DEBTCONSOLIDATION,10000,7.14,0,0.25,N,4
21.0,40000,MORTGAGE,5.0,MEDICAL,9000,7.51,0,0.23,N,4
26.0,44000,RENT,5.0,DEBTCONSOLIDATION,4600,13.99,1,0.1,N,4
21.0,51996,RENT,5.0,PERSONAL,4600,8.59,0,0.09,N,2
23.0,52000,RENT,5.0,PERSONAL,4600,14.96,1,0.09,N,2
26.0,52800,RENT,3.0,DEBTCONSOLIDATION,4600,15.62,1,0.09,Y,4
24.0,40000,MORTGAGE,8.0,DEBTCONSOLIDATION,4000,7.14,0,0.1,N,4
23.0,40000,MORTGAGE,3.0,EDUCATION,12000,9.88,0,0.3,N,2
25.0,34000,MORTGAGE,2.0,HOMEIMPROVEMENT,5800,13.48,1,0.17,Y,3
22.0,40000,MORTGAGE,0.0,EDUCATION,4000,12.73,0,0.1,Y,2
24.0,73000,RENT,2.0,MEDICAL,4600,9.99,0,0.06,N,2
24.0,100000,RENT,1.0,EDUCATION,4600,8.49,0,0.05,N,2
22.0,40000,OWN,0.0,VENTURE,6400,14.22,0,0.16,Y,2
24.0,40000,MORTGAGE,8.0,DEBTCONSOLIDATION,15000,9.88,0,0.38,N,2
24.0,40000,MORTGAGE,2.0,VENTURE,10000,11.83,0,0.25,N,3
21.0,31970,RENT,2.0,VENTURE,4650,9.32,0,0.15,N,2
22.0,48000,RENT,2.0,MEDICAL,4650,10.99,0,0.1,N,4
24.0,31776,RENT,6.0,VENTURE,4700,8.94,0,0.15,N,3
25.0,40000,RENT,0.0,MEDICAL,4700,12.09,0,0.12,Y,3
24.0,40000,OWN,1.0,HOMEIMPROVEMENT,9000,8.94,0,0.23,N,3
23.0,41000,RENT,7.0,PERSONAL,4700,7.9,0,0.11,N,2
26.0,40000,MORTGAGE,3.0,VENTURE,1750,11.83,0,0.04,N,4
24.0,45000,RENT,2.0,DEBTCONSOLIDATION,4700,10.96,0,0.1,N,2
26.0,19800,RENT,0.0,MEDICAL,4725,11.22,1,0.24,N,3
26.0,27600,RENT,0.0,MEDICAL,4725,6.54,0,0.17,N,2
24.0,40000,OWN,8.0,HOMEIMPROVEMENT,7500,13.22,0,0.19,N,3
24.0,12000,RENT,0.0,EDUCATION,4750,10.75,1,0.4,N,4
21.0,13806,RENT,6.0,PERSONAL,4750,12.73,1,0.34,Y,3
22.0,14000,RENT,2.0,PERSONAL,4750,14.61,1,0.34,N,4
26.0,14040,RENT,1.0,DEBTCONSOLIDATION,4750,10.25,1,0.34,N,2
23.0,14400,RENT,1.0,EDUCATION,4750,11.11,1,0.33,N,2
21.0,40000,MORTGAGE,5.0,EDUCATION,9000,11.14,0,0.23,N,3
26.0,15000,RENT,0.0,PERSONAL,4750,8.49,1,0.32,N,3
25.0,15600,RENT,1.0,PERSONAL,4750,13.85,1,0.3,N,4
22.0,16000,RENT,0.0,EDUCATION,4750,13.16,1,0.3,N,3
23.0,40000,OWN,6.0,VENTURE,12000,11.14,0,0.3,N,3
22.0,20400,RENT,1.0,DEBTCONSOLIDATION,4750,11.49,0,0.23,N,2
25.0,20400,RENT,3.0,VENTURE,4750,12.98,0,0.23,Y,4
24.0,40000,MORTGAGE,2.0,DEBTCONSOLIDATION,3400,7.4,0,0.09,N,3
25.0,24000,RENT,9.0,MEDICAL,4750,10.38,0,0.2,N,4
24.0,24000,RENT,8.0,DEBTCONSOLIDATION,4750,10.62,0,0.2,N,3
21.0,26400,RENT,5.0,PERSONAL,4750,12.23,0,0.18,N,3
24.0,34000,MORTGAGE,3.0,PERSONAL,10000,15.31,1,0.29,Y,2
22.0,40000,OWN,0.0,EDUCATION,6000,11.48,0,0.15,N,4
24.0,40000,MORTGAGE,8.0,EDUCATION,3000,15.65,0,0.07,N,2
23.0,40000,MORTGAGE,1.0,EDUCATION,4000,11.48,0,0.1,N,3
22.0,13440,RENT,1.0,MEDICAL,4800,12.53,1,0.36,N,4
21.0,15000,RENT,6.0,VENTURE,4800,8.49,1,0.32,N,3
24.0,15000,RENT,3.0,PERSONAL,4800,16.95,1,0.32,N,3
21.0,15996,RENT,3.0,MEDICAL,4800,15.37,1,0.3,Y,3
26.0,20000,RENT,0.0,DEBTCONSOLIDATION,4800,7.49,0,0.24,N,2
24.0,20000,RENT,5.0,MEDICAL,4800,11.14,0,0.24,N,4
24.0,40000,MORTGAGE,3.0,VENTURE,5000,8.59,0,0.13,N,3
22.0,40000,MORTGAGE,6.0,DEBTCONSOLIDATION,7000,9.32,0,0.17,N,3
26.0,40000,MORTGAGE,6.0,VENTURE,10750,12.84,0,0.27,Y,4
23.0,40000,MORTGAGE,7.0,EDUCATION,3500,12.21,0,0.09,N,3
22.0,21000,RENT,5.0,MEDICAL,4800,10.75,0,0.23,N,3
26.0,21000,RENT,0.0,VENTURE,4800,7.75,0,0.23,N,4
22.0,21600,RENT,0.0,MEDICAL,4800,13.49,0,0.22,N,3
21.0,22000,RENT,1.0,MEDICAL,4800,7.88,0,0.22,N,2
26.0,40000,MORTGAGE,3.0,VENTURE,3250,8.0,0,0.08,N,4
21.0,34000,OTHER,3.0,VENTURE,9600,15.68,1,0.28,Y,2
22.0,24000,RENT,6.0,EDUCATION,4800,7.49,0,0.2,N,2
22.0,24500,RENT,3.0,MEDICAL,4800,10.65,0,0.2,N,2
25.0,26000,RENT,1.0,PERSONAL,4800,10.65,0,0.18,N,4
22.0,26004,RENT,5.0,MEDICAL,4800,10.99,0,0.18,N,4
24.0,26085,RENT,2.0,EDUCATION,4800,13.35,0,0.18,Y,3
21.0,27000,RENT,1.0,EDUCATION,4800,7.51,0,0.18,N,2
22.0,40000,MORTGAGE,1.0,PERSONAL,8000,16.0,0,0.2,Y,3
21.0,27700,RENT,5.0,PERSONAL,4800,6.62,0,0.17,N,4
26.0,27880,RENT,1.0,MEDICAL,4800,9.25,0,0.17,N,4
22.0,29000,RENT,6.0,MEDICAL,4800,12.99,0,0.17,Y,4
25.0,34000,MORTGAGE,8.0,HOMEIMPROVEMENT,3000,10.51,1,0.09,N,3
22.0,29534,RENT,1.0,EDUCATION,4800,11.99,0,0.16,N,4
23.0,40000,MORTGAGE,1.0,VENTURE,1200,10.83,0,0.03,N,2
24.0,30000,RENT,5.0,EDUCATION,4800,6.99,0,0.16,N,4
23.0,30000,RENT,6.0,EDUCATION,4800,7.49,0,0.16,N,3
24.0,30000,RENT,8.0,VENTURE,4800,11.49,0,0.16,N,2
24.0,30000,RENT,0.0,EDUCATION,4800,13.35,0,0.16,N,3
26.0,40000,MORTGAGE,10.0,VENTURE,5200,10.08,0,0.13,N,3
25.0,30000,RENT,5.0,DEBTCONSOLIDATION,4800,11.22,0,0.16,Y,3
24.0,40000,OWN,4.0,MEDICAL,1000,7.37,0,0.03,N,2
22.0,40000,MORTGAGE,5.0,MEDICAL,5000,7.68,0,0.13,N,4
24.0,32000,RENT,6.0,MEDICAL,4800,10.59,0,0.15,N,2
22.0,32000,RENT,3.0,DEBTCONSOLIDATION,4800,16.49,1,0.15,Y,2
22.0,32000,RENT,0.0,DEBTCONSOLIDATION,4800,11.11,0,0.15,N,4
25.0,32000,RENT,0.0,EDUCATION,4800,7.14,0,0.15,N,3
22.0,40000,MORTGAGE,5.0,DEBTCONSOLIDATION,8000,9.76,0,0.2,N,4
22.0,32000,RENT,1.0,EDUCATION,4800,13.61,0,0.15,N,4
23.0,32640,RENT,5.0,VENTURE,4800,11.99,0,0.15,N,2
26.0,33000,RENT,6.0,EDUCATION,4800,12.69,0,0.15,N,4
22.0,33000,RENT,3.0,MEDICAL,4800,7.49,0,0.15,N,4
22.0,40000,MORTGAGE,1.0,EDUCATION,13025,10.14,0,0.33,N,3
26.0,40000,OWN,0.0,MEDICAL,15000,9.64,0,0.38,N,4
24.0,33000,RENT,4.0,MEDICAL,4800,14.91,1,0.15,Y,4
24.0,40000,OWN,6.0,MEDICAL,5000,11.86,0,0.13,N,4
23.0,34000,MORTGAGE,0.0,DEBTCONSOLIDATION,2525,13.12,1,0.07,N,3
23.0,33000,RENT,5.0,DEBTCONSOLIDATION,4800,14.54,1,0.15,Y,3
25.0,34000,MORTGAGE,2.0,VENTURE,15450,11.22,1,0.45,N,4
24.0,33600,RENT,0.0,MEDICAL,4800,11.86,0,0.14,N,2
26.0,35000,RENT,0.0,DEBTCONSOLIDATION,4800,8.9,0,0.14,N,2
22.0,40058,MORTGAGE,5.0,VENTURE,6000,9.91,0,0.15,N,2
22.0,35000,RENT,3.0,EDUCATION,4800,5.42,0,0.14,N,3
25.0,35000,RENT,9.0,VENTURE,4800,11.14,0,0.14,N,2
25.0,35000,RENT,1.0,MEDICAL,4800,10.28,0,0.14,N,2
23.0,40104,OTHER,7.0,EDUCATION,10000,12.72,0,0.25,Y,2
24.0,40113,MORTGAGE,6.0,HOMEIMPROVEMENT,5000,7.14,0,0.12,N,2
23.0,36000,RENT,0.0,PERSONAL,4800,11.11,0,0.13,N,3
21.0,40200,MORTGAGE,5.0,MEDICAL,7200,7.88,0,0.18,N,2
